Date,Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment
2017/3/3,-92497290.53509888,-1239.4400338706316,850.6222190036179,5870.75,47.28787879,1.0552,1.2249,114.6,2.49,4.471784455,-8.742857143,150.0444179
2017/3/6,-92497290.53509888,-1238.4156599996386,850.0823407164619,5849.180176,47.28787879,1.0586,1.2243,113.92,2.49,4.469876583,-8.285714286,150.070791
2017/3/7,-92497290.53509888,-1237.3912859078775,849.5424625748366,5833.930176,47.28787879,1.0582,1.2209,113.99,2.52,4.467968712,-7.828571429,150.0971642
2017/3/8,-92497290.53509888,-1236.3669083006912,849.0025777402765,5837.549805,47.28787879,1.0547,1.2152,114.58,2.57,4.46606084,-7.371428571,150.1235373
2017/3/9,-92497290.53509888,-1235.3425342097228,848.4626995987644,5838.810059,47.28787879,1.0586,1.2166,114.71,2.6,4.464152969,-6.914285714,150.1499104
2017/3/10,-92497290.53509888,-1234.3181603387295,847.9228213116083,5861.72998,47.28787879,1.0667,1.2158,115.02,2.58,4.462245097,-6.457142857,150.1762836
2017/3/13,-92497290.53509888,-1233.2937910181502,847.3829413214206,5875.779785,47.28787879,1.067,1.2234,114.61,2.62,4.460337226,-6.0,150.2026567
2017/3/14,-92497290.53509888,-1232.269413489296,846.8430564664967,5856.819824,47.28787879,1.0645,1.2168,114.63,2.6,4.458429355,-5.542857143,150.2290299
2017/3/15,-92497290.53509888,-1231.2450393185943,846.3031783462899,5900.049805,47.28787879,1.063,1.2222,114.66,2.51,4.456521483,-5.085714286,150.255403
2017/3/16,-92497290.53509888,-1230.2206654468087,845.7633000590205,5900.759766,47.28787879,1.0738,1.237,113.02,2.53,4.454613612,-4.628571429,150.2817761
2017/3/17,-92497290.53509888,-1229.1962915772172,845.2234217709243,5901.0,47.28787879,1.0742,1.2372,112.67,2.5,4.45270574,-4.171428571,150.3081493
2017/3/20,-92497290.53509888,-1228.1719138283877,844.6835370616443,5901.529785,47.28787879,1.0754,1.2365,112.59,2.47,4.450797869,-3.714285714,150.3345224
2017/3/21,-92497290.53509888,-1227.1475399573947,844.1436587744884,5793.830078,47.28787879,1.081,1.2479,111.9,2.43,4.448889997,-2.8,150.3608955
2017/3/22,-92497290.53509888,-1226.1231658656338,843.6037806328629,5821.640137,47.28787879,1.08,1.2476,111.06,2.4,4.446982126,-2.342857143,150.3872687
2017/3/23,-92497290.53509888,-1225.0987919149072,843.063902367012,5817.689941,47.28787879,1.0787,1.2526,111.12,2.41,4.445074255,-1.885714286,150.4136418
2017/3/24,-92497290.53509888,-1224.0744141660778,842.5240176577321,5828.740234,47.28787879,1.0806,1.2491,111.03,2.4,4.441258512,-1.428571429,150.4400149
2017/3/27,-92497290.53509888,-1223.0500450654736,841.9841375219005,5840.370117,47.28787879,1.0882,1.2583,110.48,2.38,4.43935064,-0.971428571,150.4663881
2017/3/28,-92497290.53509888,-1222.0256711958823,841.4442592338028,5875.140137,47.28787879,1.0852,1.2503,110.56,2.42,4.437442769,-0.514285714,150.4927612
2017/3/29,-92497290.53509888,-1221.001297104913,840.904381092291,5897.549805,47.28787879,1.0756,1.2411,111.05,2.39,4.435534897,-0.057142857,150.5191343
2017/3/30,-92497290.53509888,-1219.9769194963255,840.3644962586723,5914.339844,47.28787879,1.0726,1.2489,111.36,2.42,4.433627026,0.4,150.5455075
2017/3/31,-92497290.53509888,-1218.9613412026554,839.8721059360353,5911.740234,47.28787879,1.0698,1.2537,111.41,2.4,4.433627026,0.4,150.5718806
2017/4/3,-92497290.53509888,-1217.9365144838164,839.3325312999705,5894.680176,46.56060606,1.0655,1.2479,110.96,2.35,4.432009489,0.504761905,150.5982537
2017/4/4,-92497290.53509888,-1217.9069421147826,839.3521108085631,5898.609863,46.56060606,1.0664,1.2437,110.74,2.36,4.430391951,0.60952381,150.6246269
2017/4/5,-92497290.53509888,-1215.8610337335738,840.1326473398817,5864.47998,46.56060606,1.0661,1.2488,111.2,2.34,4.428774414,0.714285714,150.651
2017/4/6,-92497290.53509888,-1213.8447184466643,840.893599518596,5878.950195,46.56060606,1.0651,1.2486,111.02,2.34,4.427156877,0.819047619,150.651
2017/4/7,-92497290.53509888,-1211.7795579848098,841.6868840222115,5877.810059,46.56060606,1.0616,1.2398,110.76,2.38,4.42553934,0.923809524,150.6797164
2017/4/10,-92497290.53509888,-1209.7143929498116,842.4801703010078,5880.930176,46.56060606,1.0606,1.2418,110.95,2.37,4.423921802,1.028571429,150.7084328
2017/4/11,-92497290.53509888,-1207.6492313515087,843.27346322746,5866.77002,46.56060606,1.0614,1.2484,109.74,2.32,4.422304265,1.133333333,150.7371493
2017/4/12,-92497290.53509888,-1205.5840660965364,844.0667496518998,5836.160156,46.56060606,1.0611,1.25,109.54,2.28,4.420686728,1.238095238,150.7658657
2017/4/13,-92497290.53509888,-1203.5189056115537,844.8600341620206,5805.149902,46.56060606,1.063,1.2522,109.23,2.24,4.41906919,1.342857143,150.7945821
2017/4/17,-92497290.53509888,-1199.3885789854337,846.4466133650251,5856.790039,46.56060606,1.066,1.2587,108.46,2.26,4.415834116,1.552380952,150.8520149
2017/4/18,-92497290.53509888,-1197.3234137278675,847.2398997246482,5849.470215,46.56060606,1.0706,1.2769,108.4,2.18,4.414216579,1.657142857,150.8807313
2017/4/19,-92497290.53509888,-1195.2582569019373,848.0331908682954,5863.029785,46.56060606,1.0707,1.2789,109.06,2.21,4.412599041,1.761904762,150.9094478
2017/4/20,-92497290.53509888,-1193.193091865748,848.8264770813344,5916.779785,46.56060606,1.0758,1.283,109.34,2.24,4.410981504,1.866666667,150.9381642
2017/4/21,-92497290.53509888,-1191.127926610775,849.6197635057746,5910.52002,46.56060606,1.0694,1.2783,109.08,2.24,4.409363967,1.971428571,150.9668806
2017/4/24,-92497290.53509888,-1189.0627650196536,850.4130564299826,5983.819824,46.56060606,1.0846,1.2783,109.74,2.28,4.407746429,2.076190476,150.995597
2017/4/25,-92497290.53509888,-1186.997604534671,851.2063409401032,6025.490234,46.56060606,1.0941,1.2836,110.88,2.35,4.406128892,2.180952381,151.0243134
2017/4/26,-92497290.53509888,-1184.9324394996727,851.9996272188996,6025.22998,46.56060606,1.0872,1.2838,111.52,2.32,4.404511355,2.285714286,151.0530299
2017/4/27,-92497290.53509888,-1182.8672779013707,852.7929201453513,6048.939941,46.56060606,1.0864,1.2889,111.13,2.3,4.402893818,2.39047619,151.0817463
2017/4/28,-92497290.53509888,-1180.8021126463975,853.5862065697916,6047.609863,46.56060606,1.0895,1.2938,111.44,2.29,4.40127628,2.495238095,151.1104627
2017/5/1,-92497290.53509888,-1178.750146085707,854.450722660507,6091.600098,46.56060606,1.0912,1.2917,111.78,2.33,4.399658743,2.6,151.1391791
2017/5/2,-92497290.53509888,-1176.6849844885953,855.2440156527165,6095.370117,46.56060606,1.091,1.2921,112.06,2.29,4.399658743,2.6,151.1678955
2017/5/3,-92497290.53509888,-1174.6198018665107,856.0373136558861,6072.549805,46.56060606,1.092,1.2916,112.34,2.33,4.397701758,2.519047619,151.1966119
2017/5/4,-92497290.53509888,-1174.569946284901,856.0703312035848,6075.339844,46.56060606,1.0967,1.291,112.7,2.36,4.395744774,2.438095238,151.2253284
2017/5/5,-92497290.53509888,-1173.4803422461734,854.7308212927805,6100.759766,46.56060606,1.0996,1.295,112.63,2.36,4.393787789,2.357142857,151.2540448
2017/5/8,-92497290.53509888,-1172.3907343385881,853.3913048911371,6102.660156,46.56060606,1.0928,1.2942,112.84,2.39,4.391830804,2.276190476,151.2827612
2017/5/9,-92497290.53509888,-1171.301130079885,852.0517951259757,6120.589844,46.56060606,1.0875,1.2939,114.19,2.42,4.38987382,2.195238095,151.3114776
2017/5/10,-92497290.53509888,-1170.2115221701044,850.7122787251594,6129.140137,46.56060606,1.0873,1.2939,114.02,2.41,4.387916835,2.114285714,151.340194
2017/5/11,-92497290.53509888,-1169.121918131377,849.3727688143553,6115.959961,46.56060606,1.0869,1.2885,113.77,2.39,4.38595985,2.033333333,151.3689104
2017/5/12,-92497290.53509888,-1168.03231388025,848.0332589814201,6121.22998,46.56060606,1.0926,1.288,113.3,2.33,4.384002866,1.952380952,151.3976269
2017/5/15,-92497290.53509888,-1166.9427059650884,846.6937426475503,6149.669922,46.56060606,1.0979,1.2917,113.54,2.34,4.382045881,1.871428571,151.4263433
2017/5/16,-92497290.53509888,-1165.8531019263617,845.3542327367458,6169.870117,46.56060606,1.1072,1.2912,113.24,2.33,4.380088896,1.79047619,151.4550597
2017/5/17,-92497290.53509888,-1164.7634976752338,844.014722903811,6011.240234,46.56060606,1.1134,1.2944,111.46,2.22,4.378131912,1.70952381,151.4837761
2017/5/18,-92497290.53509888,-1163.6738897586713,842.6752065708826,6055.129883,46.56060606,1.113,1.3009,110.82,2.23,4.376174927,1.628571429,151.5124925
2017/5/19,-92497290.53509888,-1162.5842902779327,841.3356948892707,6083.700195,46.56060606,1.119,1.3018,111.47,2.23,4.374217942,1.547619048,151.541209
2017/5/22,-92497290.53509888,-1161.494682581344,839.9961784106985,6133.620117,46.56060606,1.1236,1.3006,111.15,2.25,4.372260958,1.466666667,151.5699254
2017/5/23,-92497290.53509888,-1160.4050783316197,838.656668576823,6138.709961,46.56060606,1.1198,1.2984,111.64,2.29,4.370303973,1.385714286,151.5986418
2017/5/24,-92497290.53509888,-1159.3154740729171,837.3171588116627,6163.02002,46.56060606,1.1175,1.2935,112.02,2.26,4.368346988,1.304761905,151.6273582
2017/5/25,-92497290.53509888,-1158.2258661563537,835.9776424787331,6205.259766,46.56060606,1.1218,1.2954,111.7,2.25,4.366390004,1.223809524,151.6560746
2017/5/26,-92497290.53509888,-1157.136262125201,834.6381325001545,6210.189941,46.56060606,1.117,1.2795,111.3,2.25,4.364433019,1.142857143,151.684791
2017/5/30,-92497290.53509888,-1154.95704995812,831.9591063332362,6203.189941,46.56060606,1.1183,1.2858,110.68,2.21,4.36051905,0.980952381,151.7422239
