Date,Close Pfizer,Date,Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment
2018/12/18,0.280314326,2018/12/17,0,0.488705894,0.127128001,0.124633514,0,0.599930362,0.524386883,0.220718816,0.627345845,0.039994994,0.26416373,0.160242626
2018/12/19,0.315500537,2018/12/18,0,0.489571824,0.127151283,0.127473103,0,0.608635097,0.534858088,0.211839323,0.616621984,0.040153923,0.262695401,0.160168579
2018/12/20,0.367023033,2018/12/19,0,0.490437753,0.127174565,0.113634649,0,0.628830084,0.541747038,0.20359408,0.603217158,0.040312852,0.261227071,0.160094531
2018/12/21,0.367023165,2018/12/20,0,0.491303681,0.127197847,0.103433647,0,0.632311978,0.536511436,0.186469345,0.608579088,0.04047178,0.259758742,0.160020484
2018/12/24,0.19611926,2018/12/21,0,0.49216961,0.127221129,0.085046999,0,0.621866295,0.545053734,0.182241015,0.608579088,0.040630709,0.258290413,0.159946436
2018/12/26,0.575625732,2018/12/24,0,0.49303554,0.127244411,0.071868079,0,0.623955432,0.543675944,0.167653277,0.595174263,0.040789638,0.256822084,0.159872389
2018/12/27,0.45247492,2018/12/26,0,0.494767397,0.127290973,0.105875201,0,0.623955432,0.543675944,0.167653277,0.613941019,0.041266424,0.253885425,0.159724294
2018/12/28,0.383359583,2018/12/27,0,0.495633327,0.127314255,0.108239664,0,0.625348189,0.530173602,0.174630021,0.603217158,0.041425352,0.252417096,0.159650247
2018/12/31,0.456244587,2018/12/28,0,0.496499256,0.127337537,0.108712906,0,0.63683844,0.550013778,0.165327696,0.589812332,0.041584281,0.250948767,0.159576199
2019/1/2,0.319270734,2018/12/31,0,0.497365185,0.127360818,0.113488785,0,0.640668524,0.56764949,0.15179704,0.581769437,0.04174321,0.250948767,0.159502152
2019/1/3,0.217482033,2019/1/2,0,0.510438705,0.112975726,0.116373535,0.337649009,0.606197772,0.522182419,0.141649049,0.573726542,0.042061067,0.248373543,0.159354057
2019/1/4,0.49017411,2019/1/3,0,0.511128286,0.112759274,0.097326388,0.337649009,0.620821727,0.53182695,0.117336152,0.54691689,0.042061067,0.247085931,0.159280009
2019/1/7,0.398439047,2019/1/4,0,0.511817867,0.112542823,0.123234416,0.337649009,0.624651811,0.561311656,0.121987315,0.576407507,0.041435102,0.245798319,0.159205962
2019/1/8,0.394669247,2019/1/7,0,0.512507448,0.112326373,0.131195226,0.337649009,0.644846797,0.565996142,0.128964059,0.584450402,0.040809138,0.244510708,0.159131914
