Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment,Pandemic1
0.000107558,0.586367023,0.281471154,0.586973811,0.480134457,0.570351759,0.533793103,0.636853448,0.508474576,0.354612329,0.517634408,0.131482533,0
0.000107558,0.586367003,0.281471145,0.562032207,0.480134457,0.535175879,0.468965517,0.600215517,0.491525424,0.354612329,0.517634408,0.131482533,0
0.000107558,0.586367041,0.281471122,0.57694629,0.480134457,0.64321608,0.573793103,0.613146552,0.508474576,0.354612328,0.517634408,0.131482533,0
0.000107558,0.586367024,0.281471154,0.549994895,0.480134457,0.522613065,0.486896552,0.64762931,0.491525424,0.354612329,0.517634408,0.131482533,0
0.000107558,0.586367002,0.281471144,0.502382643,0.480134457,0.783919598,0.56137931,0.725215517,0.627118644,0.354612329,0.517634408,0.131482874,0
0.000107558,0.586367024,0.281471154,0.611158148,0.480134457,0.683417085,0.68,0.598060345,0.525423729,0.354612329,0.517634408,0.131482533,0
0.000107558,0.586367003,0.281471145,0.508430067,0.480134457,0.663316583,0.546206897,0.639008621,0.593220339,0.354612329,0.517634408,0.131482533,0
0.000107558,0.586367041,0.281471122,0.55817959,0.480134457,0.5,0.495172414,0.632543103,0.576271186,0.354612329,0.517634408,0.131482533,0
0.000107558,0.586386547,0.281354705,0.542913526,0.46729487,0.412060302,0.419310345,0.723060345,0.576271186,0.352162643,0.51483871,0.131482533,0
0.000107558,0.586581528,0.281627848,0.584016096,0.480134457,0.444723618,0.456551724,0.610991379,0.474576271,0.361184862,0.524731183,0.229306669,0
0.000107558,0.584843934,0.277265385,0.524984474,0.480134457,0.706030151,0.525517241,0.632543103,0.576271186,0.356673753,0.519784946,0.131482533,0
0.000107558,0.58484397,0.277265361,0.597197348,0.480134457,0.489949749,0.36,0.712284483,0.542372881,0.356673753,0.519784946,0.131482533,0
0.000107558,0.584843934,0.277265385,0.573913835,0.480134457,0.522613065,0.485517241,0.621767241,0.491525424,0.356673753,0.519784946,0.033658738,0
0.000107558,0.584626856,0.277106787,0.570216902,0.480134457,0.608040201,0.434482759,0.636853448,0.491525424,0.356673753,0.519784946,0.139668468,0
0.000107558,0.584892873,0.277301097,0.599652192,0.480134457,0.474874372,0.532413793,0.515086207,0.440677966,0.356673753,0.519784946,0.139668468,0
0.000107558,0.584892877,0.277301137,0.568114603,0.480134457,0.457286432,0.524137931,0.645474138,0.542372881,0.356673753,0.519784946,0.139668468,0
0.000107558,0.584892857,0.277301128,0.582416386,0.480134457,0.690954774,0.697931034,0.545258621,0.474576271,0.356673753,0.519784946,0.139668468,0
0.000107558,0.584892872,0.277301096,0.561581795,0.480134457,0.567839196,0.451034483,0.634698276,0.474576271,0.356673753,0.519784946,0.139668468,0
