Date,Close Pfizer,Date,Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment
2017/6/19,0.400952423,2017/6/16,0.468661373,0.521427281,0.458114873,0.552513198,0.480134457,0.628140704,0.493793103,0.643318966,0.508474576,0.354612329,0.517634408,0.131482533
2017/6/20,0.41226222,2017/6/19,0.468661373,0.521427274,0.458114865,0.610846216,0.480134457,0.43718593,0.431724138,0.677801724,0.559322034,0.354612329,0.517634408,0.131482533
2017/6/21,0.409749241,2017/6/20,0.468661373,0.521427276,0.458114865,0.531003129,0.480134457,0.432160804,0.32137931,0.636853448,0.457627119,0.354612329,0.517634408,0.131482874
2017/6/22,0.392155606,2017/6/21,0.468661373,0.521427279,0.458114872,0.586973811,0.480134457,0.570351759,0.533793103,0.636853448,0.508474576,0.354612329,0.517634408,0.131482533
2017/6/23,0.383359053,2017/6/22,0.468661373,0.521427273,0.458114862,0.562032207,0.480134457,0.535175879,0.468965517,0.600215517,0.491525424,0.354612329,0.517634408,0.131482533
2017/6/26,0.353200389,2017/6/23,0.468661373,0.52142728,0.458114876,0.57694629,0.480134457,0.64321608,0.573793103,0.613146552,0.508474576,0.354612328,0.517634408,0.131482533
2017/6/27,0.335606622,2017/6/26,0.468661373,0.521427274,0.458114865,0.549994895,0.480134457,0.522613065,0.486896552,0.64762931,0.491525424,0.354612329,0.517634408,0.131482533
2017/6/28,0.367023165,2017/6/27,0.468661373,0.521427278,0.458114869,0.502382643,0.480134457,0.783919598,0.56137931,0.725215517,0.627118644,0.354612329,0.517634408,0.131482874
2017/6/29,0.354456415,2017/6/28,0.468661373,0.521427277,0.458114868,0.611158148,0.480134457,0.683417085,0.68,0.598060345,0.525423729,0.354612329,0.517634408,0.131482533
2017/6/30,0.364509656,2017/6/29,0.468661373,0.521427273,0.458114862,0.508430067,0.480134457,0.663316583,0.546206897,0.639008621,0.593220339,0.354612329,0.517634408,0.131482533
2017/7/3,0.398439312,2017/6/30,0.468661373,0.52142728,0.458114876,0.55817959,0.480134457,0.5,0.495172414,0.632543103,0.576271186,0.354612329,0.517634408,0.131482533
2017/7/5,0.346916683,2017/7/3,0.468661373,0.490333701,0.494695163,0.542913526,0.46729487,0.412060302,0.419310345,0.723060345,0.576271186,0.352162643,0.51483871,0.131482533
2017/7/6,0.31675696,2017/7/5,0.468661373,0.519045402,0.454962707,0.584016096,0.480134457,0.444723618,0.456551724,0.610991379,0.474576271,0.361184862,0.524731183,0.229306669
2017/7/7,0.385872562,2017/7/6,0.468661373,0.518193032,0.457374279,0.524984474,0.480134457,0.706030151,0.525517241,0.632543103,0.576271186,0.356673753,0.519784946,0.131482533
2017/7/10,0.377076274,2017/7/7,0.468661373,0.518193045,0.457374301,0.597197348,0.480134457,0.489949749,0.36,0.712284483,0.542372881,0.356673753,0.519784946,0.131482533
2017/7/11,0.339376951,2017/7/10,0.468661373,0.518193032,0.45737428,0.573913835,0.480134457,0.522613065,0.485517241,0.621767241,0.491525424,0.356673753,0.519784946,0.033658738
2017/7/12,0.375819321,2017/7/11,0.468661373,0.519401984,0.458998872,0.570216902,0.480134457,0.608040201,0.434482759,0.636853448,0.491525424,0.356673753,0.519784946,0.139668468
2017/7/13,0.377076274,2017/7/12,0.468661373,0.517920567,0.457008148,0.599652192,0.480134457,0.474874372,0.532413793,0.515086207,0.440677966,0.356673753,0.519784946,0.139668468
2017/7/14,0.388385938,2017/7/13,0.468661373,0.517920577,0.457008154,0.568114603,0.480134457,0.457286432,0.524137931,0.645474138,0.542372881,0.356673753,0.519784946,0.139668468
2017/7/17,0.346916683,2017/7/14,0.468661373,0.517920571,0.45700814,0.582416386,0.480134457,0.690954774,0.697931034,0.545258621,0.474576271,0.356673753,0.519784946,0.139668468
2017/7/18,0.383359318,2017/7/17,0.468661373,0.517920572,0.457008155,0.561581795,0.480134457,0.567839196,0.451034483,0.634698276,0.474576271,0.356673753,0.519784946,0.139668468
2017/7/19,0.402208979,2017/7/18,0.468661373,0.517920569,0.457008143,0.577708635,0.480134457,0.793969849,0.435862069,0.530172414,0.440677966,0.356673753,0.519784946,0.139668468
2017/7/20,0.359483168,2017/7/19,0.468661373,0.517920579,0.45700815,0.583975764,0.480134457,0.371859296,0.493793103,0.610991379,0.508474576,0.356673753,0.519784946,0.245678198
2017/7/21,0.361996412,2017/7/20,0.468661373,0.517920567,0.457008148,0.563314626,0.480134457,0.814070352,0.397241379,0.614224138,0.508474576,0.356673753,0.519784946,0.139668468
2017/7/24,0.34943006,2017/7/21,0.468661373,0.517920577,0.457008147,0.559150077,0.480134457,0.575376884,0.468965517,0.570043103,0.457627119,0.356673753,0.519784946,0.139668468
2017/7/25,0.341890063,2017/7/24,0.468661373,0.517920569,0.457008143,0.573769433,0.480134457,0.489949749,0.562758621,0.615301724,0.542372881,0.356673753,0.519784946,0.139668468
2017/7/26,0.343146619,2017/7/25,0.468661373,0.517920575,0.457008159,0.561235172,0.480134457,0.557788945,0.504827586,0.674568966,0.627118644,0.356673753,0.519784946,0.139668468
2017/7/27,0.38335945,2017/7/26,0.468661373,0.517920571,0.45700814,0.566560865,0.480134457,0.462311558,0.482758621,0.681034483,0.440677966,0.356673753,0.519784946,0.139668468
2017/7/28,0.388385806,2017/7/27,0.468661373,0.517920575,0.45700815,0.537021786,0.480134457,0.582914573,0.503448276,0.572198276,0.559322034,0.356673753,0.519784946,0.139668468
2017/7/31,0.37079323,2017/7/28,0.468661373,0.517920567,0.457008148,0.556111982,0.480134457,0.768844221,0.56137931,0.543103448,0.474576271,0.356673753,0.519784946,0.139668468
